name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
M. Butterfly,R,Drama,1993,"October 1, 1993 (United States)",6.8,9000.0,David Cronenberg,David Henry Hwang,Jeremy Irons,United States,,1498795.0,Geffen Pictures,101.0
Heathers,R,Comedy,1988,"March 31, 1989 (United States)",7.2,92000.0,Michael Lehmann,Daniel Waters,Winona Ryder,United States,3000000.0,1163969.0,New World Pictures,103.0
We Own the Night,R,Action,2007,"October 12, 2007 (United States)",6.8,86000.0,James Gray,James Gray,Joaquin Phoenix,United States,21000000.0,55033767.0,Columbia Pictures,117.0
Bring It on,PG-13,Comedy,2000,"August 25, 2000 (United States)",6.0,90000.0,Peyton Reed,Jessica Bendinger,Kirsten Dunst,United States,11000000.0,90449929.0,Beacon Communications,98.0
Another Woman,PG,Drama,1988,"November 18, 1988 (United States)",7.3,13000.0,Woody Allen,Woody Allen,Gena Rowlands,United States,10000000.0,1562749.0,Jack Rollins & Charles H. Joffe Productions,81.0
Wish You Were Here,R,Comedy,1987,"July 24, 1987 (United States)",6.8,2700.0,David Leland,David Leland,Emily Lloyd,United Kingdom,,3283832.0,Channel Four Films,88.0
Bel Ami,R,Crime,2012,"March 9, 2012 (United Kingdom)",5.4,18000.0,Declan Donnellan,Guy de Maupassant,Robert Pattinson,United Kingdom,,9374932.0,Redwave Films,102.0
Red Planet,PG-13,Action,2000,"November 10, 2000 (United States)",5.7,56000.0,Antony Hoffman,Chuck Pfarrer,Val Kilmer,United States,80000000.0,33463969.0,Warner Bros.,106.0
On Golden Pond,PG,Drama,1981,"February 12, 1982 (United States)",7.6,29000.0,Mark Rydell,Ernest Thompson,Katharine Hepburn,United States,,119285432.0,IPC Films,109.0
Everyone's Hero,G,Animation,2006,"September 15, 2006 (United States)",5.7,8300.0,Colin Brady,Robert Kurtz,Jake T. Austin,Canada,35000000.0,16627188.0,Arc Productions,87.0
Don't Be Afraid of the Dark,R,Fantasy,2010,"August 26, 2011 (United States)",5.6,47000.0,Troy Nixey,Guillermo del Toro,Katie Holmes,United States,25000000.0,38269529.0,Miramax,99.0
Welcome to Sarajevo,R,Drama,1997,"November 26, 1997 (United States)",6.8,7100.0,Michael Winterbottom,Michael Nicholson,Stephen Dillane,United Kingdom,9000000.0,334319.0,Miramax,103.0
Pirates,PG-13,Action,1986,"July 18, 1986 (United States)",6.1,8100.0,Roman Polanski,John Brownjohn,Walter Matthau,France,40000000.0,1641825.0,Carthago Films S.a.r.l.,121.0
A Scanner Darkly,R,Animation,2006,"July 28, 2006 (United States)",7.1,108000.0,Richard Linklater,Philip K. Dick,Keanu Reeves,United States,8700000.0,7659918.0,Warner Independent Pictures (WIP),100.0
Steel Magnolias,PG,Comedy,1989,"November 22, 1989 (United States)",7.3,50000.0,Herbert Ross,Robert Harling,Shirley MacLaine,United States,15000000.0,96759512.0,TriStar Pictures,117.0
The Day the Earth Stood Still,PG-13,Drama,2008,"December 12, 2008 (United States)",5.5,165000.0,Scott Derrickson,David Scarpa,Keanu Reeves,United States,80000000.0,233093859.0,Twentieth Century Fox,104.0
Mona Lisa Smile,PG-13,Drama,2003,"December 19, 2003 (United States)",6.5,79000.0,Mike Newell,Lawrence Konner,Julia Roberts,United States,65000000.0,141337989.0,Revolution Studios,117.0
The Wedding Date,PG-13,Comedy,2005,"February 4, 2005 (United States)",6.2,50000.0,Clare Kilner,Elizabeth Young,Dermot Mulroney,United States,15000000.0,47096206.0,Gold Circle Films,90.0
Antichrist,Not Rated,Drama,2009,"May 20, 2009 (Denmark)",6.6,119000.0,Lars von Trier,Lars von Trier,Willem Dafoe,Denmark,11000000.0,7413863.0,Zentropa Entertainments,108.0
Snow Falling on Cedars,PG-13,Drama,1999,"January 7, 2000 (United States)",6.8,14000.0,Scott Hicks,David Guterson,Ethan Hawke,United States,35000000.0,23049593.0,Universal Pictures,127.0
Ramona and Beezus,G,Comedy,2010,"July 23, 2010 (United States)",6.5,18000.0,Elizabeth Allen Rosenbaum,Laurie Craig,Joey King,United States,15000000.0,27293743.0,Fox 2000 Pictures,103.0
Mission: Impossible II,PG-13,Action,2000,"May 24, 2000 (United States)",6.1,322000.0,John Woo,Bruce Geller,Tom Cruise,United States,125000000.0,546388108.0,Paramount Pictures,123.0
Ride Along,PG-13,Action,2014,"January 17, 2014 (United States)",6.2,106000.0,Tim Story,Greg Coolidge,Ice Cube,United States,25000000.0,154468902.0,Universal Pictures,99.0
The Twilight Saga: New Moon,PG-13,Adventure,2009,"November 20, 2009 (United States)",4.7,271000.0,Chris Weitz,Melissa Rosenberg,Kristen Stewart,United States,50000000.0,711025481.0,Temple Hill Entertainment,130.0
Going in Style,PG-13,Comedy,2017,"April 7, 2017 (United States)",6.6,79000.0,Zach Braff,Theodore Melfi,Michael Caine,United States,25000000.0,84918541.0,De Line Pictures,96.0
Into the Woods,PG,Adventure,2014,"December 25, 2014 (United States)",5.9,135000.0,Rob Marshall,James Lapine,Anna Kendrick,United States,50000000.0,212902372.0,BBL Motion Picture Studios,125.0
The Edge of Love,R,Biography,2008,"June 20, 2008 (United Kingdom)",6.2,17000.0,John Maybury,Sharman Macdonald,Keira Knightley,United Kingdom,,4297711.0,BBC Films,110.0
"Don't Worry, He Won't Get Far on Foot",R,Biography,2018,"April 4, 2018 (France)",6.9,24000.0,Gus Van Sant,John Callahan,Joaquin Phoenix,France,,4241656.0,Amazon Studios,114.0
Jason X,R,Action,2001,"April 26, 2002 (United States)",4.4,52000.0,James Isaac,Victor Miller,Kane Hodder,Canada,11000000.0,17077882.0,New Line Cinema,92.0
The Ghost Writer,PG-13,Crime,2010,"March 19, 2010 (United States)",7.2,159000.0,Roman Polanski,Robert Harris,Ewan McGregor,France,45000000.0,60331447.0,R.P. Productions,128.0
Suture,Not Rated,Drama,1993,"August 24, 1994 (France)",6.6,1800.0,Scott McGehee,Scott McGehee,Dennis Haysbert,United States,,102780.0,Kino Korsakoff,96.0
By the Sea,R,Drama,2015,"December 9, 2015 (France)",5.3,19000.0,Angelina Jolie,Angelina Jolie,Brad Pitt,France,10000000.0,3334927.0,Universal Pictures,122.0
Julien Donkey-Boy,R,Comedy,1999,"September 13, 2000 (France)",6.8,6900.0,Harmony Korine,Harmony Korine,Ewen Bremner,United States,,92442.0,391 Productions,94.0
A Fine Mess,PG,Action,1986,"August 8, 1986 (United States)",4.7,1400.0,Blake Edwards,Blake Edwards,Ted Danson,United States,,6029824.0,Blake Edwards,90.0
Smiley Face,R,Comedy,2007,"January 16, 2008 (France)",5.8,17000.0,Gregg Araki,Dylan Haggerty,Anna Faris,United States,,179381.0,Anonymous Content,85.0
Blindspotting,R,Comedy,2018,"July 27, 2018 (United States)",7.4,29000.0,Carlos López Estrada,Rafael Casal,Daveed Diggs,United States,,5006989.0,Snoot Entertainment,95.0
Road House,R,Action,1989,"May 19, 1989 (United States)",6.6,66000.0,Rowdy Herrington,R. Lance Hill,Patrick Swayze,United States,17000000.0,30050028.0,Silver Pictures,114.0
Hotel Transylvania 2,PG,Animation,2015,"September 25, 2015 (United States)",6.7,113000.0,Genndy Tartakovsky,Robert Smigel,Adam Sandler,United States,80000000.0,474800000.0,Columbia Pictures,89.0
Escape from the Bronx,R,Action,1983,"January 18, 1985 (United States)",4.6,2300.0,Enzo G. Castellari,Tito Carpi,Mark Gregory,Italy,,,Fulvia Film,89.0
Turbo Kid,Not Rated,Action,2015,"August 28, 2015 (United States)",6.7,27000.0,François Simard,Anouk Whissell,Munro Chambers,Canada,,67069.0,EMA Films,93.0
The Last Black Man in San Francisco,R,Drama,2019,"June 7, 2019 (United States)",7.3,16000.0,Joe Talbot,Jimmie Fails,Jimmie Fails,United States,,4637830.0,A24,121.0
Meet Dave,PG,Adventure,2008,"July 11, 2008 (United States)",5.0,39000.0,Brian Robbins,Rob Greenberg,Eddie Murphy,United States,60000000.0,51339567.0,Twentieth Century Fox,90.0
My Own Private Idaho,R,Drama,1991,"July 20, 1991 (Japan)",7.0,53000.0,Gus Van Sant,Gus Van Sant,River Phoenix,United States,2500000.0,6401336.0,New Line Cinema,104.0
August: Osage County,R,Comedy,2013,"January 10, 2014 (United States)",7.2,87000.0,John Wells,Tracy Letts,Meryl Streep,United States,25000000.0,74188937.0,The Weinstein Company,121.0
Friday the 13th,R,Horror,2009,"February 13, 2009 (United States)",5.5,100000.0,Marcus Nispel,Victor Miller,Jared Padalecki,United States,19000000.0,91509154.0,New Line Cinema,97.0
Barbershop,PG-13,Comedy,2002,"September 13, 2002 (United States)",6.3,30000.0,Tim Story,Mark Brown,Ice Cube,United States,12000000.0,77063924.0,Metro-Goldwyn-Mayer (MGM),102.0
Taxi,PG-13,Action,2004,"October 6, 2004 (United States)",4.5,41000.0,Tim Story,Luc Besson,Queen Latifah,United States,25000000.0,71255003.0,Twentieth Century Fox,97.0
Melancholia,R,Drama,2011,"May 26, 2011 (Denmark)",7.2,172000.0,Lars von Trier,Lars von Trier,Kirsten Dunst,Denmark,7400000.0,17039814.0,Zentropa Entertainments,135.0
Fletch Lives,PG,Comedy,1989,"March 17, 1989 (United States)",6.1,20000.0,Michael Ritchie,Gregory McDonald,Chevy Chase,United States,8000000.0,39450960.0,Universal Pictures,95.0
Southland Tales,R,Comedy,2006,"December 7, 2007 (United Kingdom)",5.4,38000.0,Richard Kelly,Richard Kelly,Dwayne Johnson,France,17000000.0,374743.0,Universal Pictures,145.0
Rampage,R,Drama,1987,"October 30, 1992 (United States)",6.2,2000.0,William Friedkin,William P. Wood,Michael Biehn,United States,7500000.0,796368.0,De Laurentiis Entertainment Group (DEG),97.0
Get Over It,PG-13,Comedy,2001,"March 9, 2001 (United States)",5.7,18000.0,Tommy O'Haver,R. Lee Fleming Jr.,Kirsten Dunst,United States,22000000.0,19900366.0,Miramax,87.0
The Sisterhood of the Traveling Pants 2,PG-13,Comedy,2008,"August 6, 2008 (United States)",6.2,28000.0,Sanaa Hamri,Elizabeth Chandler,America Ferrera,United States,27000000.0,44352417.0,Alcon Entertainment,119.0
The Clovehitch Killer,Unrated,Crime,2018,"November 16, 2018 (United States)",6.6,21000.0,Duncan Skiles,Christopher Ford,Dylan McDermott,United States,,167994.0,End Cue,109.0
The Time Machine,PG-13,Action,2002,"March 8, 2002 (United States)",6.0,120000.0,Simon Wells,H.G. Wells,Guy Pearce,United States,80000000.0,123729176.0,Warner Bros.,96.0
The Lovers on the Bridge,R,Drama,1991,"July 2, 1999 (United States)",7.6,13000.0,Leos Carax,Leos Carax,Juliette Binoche,France,28000000.0,29679.0,Films A2,125.0
Scream 4,R,Horror,2011,"April 15, 2011 (United States)",6.1,131000.0,Wes Craven,Kevin Williamson,Neve Campbell,United States,40000000.0,97231420.0,Dimension Films,111.0
Summer,R,Drama,1986,"August 29, 1986 (United States)",7.7,7700.0,Éric Rohmer,Marie Rivière,Marie Rivière,France,,63137.0,Ministère de la Culture et de la Communication,99.0
Mid90s,R,Comedy,2018,"October 26, 2018 (United States)",7.4,54000.0,Jonah Hill,Jonah Hill,Sunny Suljic,United States,10000000.0,9303022.0,A24,85.0
Spectre,PG-13,Action,2015,"November 6, 2015 (United States)",6.8,393000.0,Sam Mendes,John Logan,Daniel Craig,United Kingdom,245000000.0,880681519.0,B24,148.0
Wrong Is Right,R,Comedy,1982,"May 14, 1982 (United States)",5.7,1800.0,Richard Brooks,Charles McCarry,Sean Connery,United States,10000000.0,3583513.0,Columbia Pictures,117.0
The Phantom of the Opera,R,Drama,1989,"November 3, 1989 (United States)",5.5,3800.0,Dwight H. Little,Gaston Leroux,Robert Englund,United States,,3953745.0,21st Century Film Corporation,93.0
The Object of Beauty,R,Comedy,1991,"April 12, 1991 (United States)",5.7,2000.0,Michael Lindsay-Hogg,Michael Lindsay-Hogg,John Malkovich,United Kingdom,,5136759.0,Avenue Pictures,103.0
Hot Fuzz,R,Action,2007,"April 20, 2007 (United States)",7.8,476000.0,Edgar Wright,Edgar Wright,Simon Pegg,United Kingdom,,80743363.0,Universal Pictures,121.0
Paradise,PG-13,Drama,1991,"October 4, 1991 (United States)",6.7,2700.0,Mary Agnes Donoghue,Mary Agnes Donoghue,Melanie Griffith,United States,,18634643.0,Grand Highway Productions,111.0
Mars Attacks!,PG-13,Comedy,1996,"December 13, 1996 (United States)",6.3,214000.0,Tim Burton,Len Brown,Jack Nicholson,United States,70000000.0,101371017.0,Tim Burton Productions,106.0
Che: Part One,Not Rated,Biography,2008,"January 24, 2009 (United States)",7.2,45000.0,Steven Soderbergh,Peter Buchman,Julia Ormond,France,35000000.0,34209066.0,Wild Bunch,134.0
Game Night,R,Action,2018,"February 23, 2018 (United States)",6.9,215000.0,John Francis Daley,Mark Perez,Jason Bateman,United States,37000000.0,117679066.0,Access Entertainment,100.0
Memoirs of a Geisha,PG-13,Drama,2005,"December 23, 2005 (United States)",7.3,141000.0,Rob Marshall,Robin Swicord,Ziyi Zhang,France,85000000.0,162242962.0,Columbia Pictures,145.0
An American Rhapsody,PG-13,Drama,2001,"February 28, 2002 (Hungary)",6.7,3900.0,Éva Gárdos,Éva Gárdos,Nastassja Kinski,United States,,970676.0,Fireworks Pictures,106.0
Tucker: The Man and His Dream,PG,Biography,1988,"August 12, 1988 (United States)",6.9,17000.0,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,United States,23000000.0,19652638.0,Lucasfilm,110.0
Critical Condition,R,Comedy,1987,"January 16, 1987 (United States)",5.4,3200.0,Michael Apted,Denis Hamill,Richard Pryor,United States,14000000.0,20240502.0,Paramount Pictures,97.0
The Rock,R,Action,1996,"June 7, 1996 (United States)",7.4,319000.0,Michael Bay,David Weisberg,Sean Connery,United States,75000000.0,335062621.0,Hollywood Pictures,136.0
Final Destination 2,R,Horror,2003,"January 31, 2003 (United States)",6.2,156000.0,David R. Ellis,J. Mackye Gruber,A.J. Cook,United States,26000000.0,90941129.0,New Line Cinema,90.0
Biutiful,R,Drama,2010,"February 4, 2011 (United States)",7.5,88000.0,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Javier Bardem,Mexico,,25147786.0,Menageatroz,148.0
Ju Dou,PG-13,Drama,1990,April 1991 (United States),7.7,7800.0,Yimou Zhang,Heng Liu,Gong Li,China,,1986433.0,China Film Co-Production Corporation,95.0
Hot to Trot,PG,Comedy,1988,"August 26, 1988 (United States)",4.4,3100.0,Michael Dinner,Stephen Neigher,Bobcat Goldthwait,United States,,6436211.0,Warner Bros.,83.0
My Summer of Love,R,Drama,2004,"July 1, 2005 (United States)",6.7,20000.0,Pawel Pawlikowski,Helen Cross,Natalie Press,United Kingdom,,2766976.0,Apocalypso Pictures,86.0
The Care Bears Movie,G,Animation,1985,"March 29, 1985 (United States)",5.7,5200.0,Arna Selznick,Peter Sauder,Georgia Engel,Canada,2000000.0,22934622.0,Nelvana,77.0
Universal Soldier: Day of Reckoning,R,Action,2012,"October 25, 2012 (United States)",5.0,20000.0,John Hyams,John Hyams,Jean-Claude Van Damme,United States,10000000.0,1402307.0,Foresight Unlimited,114.0
Tough Guys,PG,Comedy,1986,"October 3, 1986 (United States)",6.2,6800.0,Jeff Kanew,James Orr,Burt Lancaster,United States,10000000.0,21458229.0,Touchstone Pictures,104.0
Rambo: Last Blood,R,Action,2019,"September 20, 2019 (United States)",6.1,87000.0,Adrian Grunberg,Matthew Cirulnick,Sylvester Stallone,United States,50000000.0,91490353.0,Lionsgate,89.0
Grace of My Heart,R,Comedy,1996,"September 13, 1996 (United States)",6.7,3600.0,Allison Anders,Allison Anders,Illeana Douglas,United States,5000000.0,660313.0,Cappa Production,116.0
Havana,R,Drama,1990,"December 14, 1990 (United States)",6.1,7400.0,Sydney Pollack,Judith Rascoe,Robert Redford,United States,40000000.0,9645440.0,Mirage Enterprises,144.0
Mr. Nobody,R,Drama,2009,"September 26, 2013 (United States)",7.8,222000.0,Jaco Van Dormael,Jaco Van Dormael,Jared Leto,Belgium,47000000.0,3559160.0,Pan Européenne,141.0
Sgt. Bilko,PG,Comedy,1996,"March 29, 1996 (United States)",5.8,22000.0,Jonathan Lynn,Nat Hiken,Steve Martin,United States,39000000.0,37956793.0,Imagine Entertainment,93.0
Star Wars: The Clone Wars,PG,Animation,2008,"August 15, 2008 (United States)",5.9,61000.0,Dave Filoni,Henry Gilroy,Matt Lanter,United States,8500000.0,68282844.0,Lucasfilm Animation,98.0
Sudden Impact,R,Action,1983,"December 9, 1983 (United States)",6.6,42000.0,Clint Eastwood,Harry Julian Fink,Clint Eastwood,United States,22000000.0,67642693.0,Warner Bros.,117.0
Afternoon Delight,R,Comedy,2013,"September 15, 2013 (Canada)",5.7,10000.0,Joey Soloway,Joey Soloway,Kathryn Hahn,United States,,175755.0,Whitewater Films,98.0
The Bourne Identity,PG-13,Action,2002,"June 14, 2002 (United States)",7.9,519000.0,Doug Liman,Tony Gilroy,Franka Potente,United States,60000000.0,214034224.0,Universal Pictures,119.0
Miami Blues,R,Comedy,1990,"April 20, 1990 (United States)",6.4,8000.0,George Armitage,Charles Willeford,Fred Ward,United States,,9888167.0,Tristes Tropiques,97.0
Bernie,PG-13,Biography,2011,"June 22, 2012 (Iceland)",6.8,58000.0,Richard Linklater,Skip Hollandsworth,Jack Black,United States,5000000.0,10173061.0,Mandalay Vision,104.0
Winter Flight,,Drama,1984,"February 14, 1986 (United States)",7.3,67.0,Roy Battersby,Alan Janes,Reece Dinsdale,United Kingdom,,2729.0,Enigma Productions,89.0
Graveyard Shift,R,Horror,1990,"October 26, 1990 (United States)",4.9,10000.0,Ralph S. Singleton,Stephen King,David Andrews,United States,10500000.0,11582891.0,Paramount Pictures,89.0
V for Vendetta,R,Action,2005,"March 17, 2006 (United States)",8.1,1100000.0,James McTeigue,Lilly Wachowski,Hugo Weaving,United States,54000000.0,132511035.0,Warner Bros.,132.0
Lucy,R,Action,2014,"July 25, 2014 (United States)",6.4,460000.0,Luc Besson,Luc Besson,Scarlett Johansson,France,40000000.0,458863600.0,EuropaCorp,89.0
Wimbledon,PG-13,Comedy,2004,"September 17, 2004 (United States)",6.3,61000.0,Richard Loncraine,Adam Brooks,Kirsten Dunst,United Kingdom,31000000.0,41682237.0,Universal Pictures,98.0
For Richer or Poorer,PG-13,Comedy,1997,"December 12, 1997 (United States)",5.8,10000.0,Bryan Spicer,Jana Howington,Tim Allen,United States,35000000.0,32748995.0,Universal Pictures,115.0
Pet Sematary,R,Horror,2019,"April 5, 2019 (United States)",5.7,86000.0,Kevin Kölsch,Stephen King,Jason Clarke,United States,21000000.0,113118226.0,Paramount Pictures,101.0
Sade,,Biography,2000,"August 23, 2000 (France)",6.1,1700.0,Benoît Jacquot,Serge Bramly,Daniel Auteuil,France,,100544.0,Alicéléo,100.0
Special Forces,R,Action,2011,"November 2, 2011 (France)",6.4,18000.0,Stéphane Rybojad,Stéphane Rybojad,Diane Kruger,France,,3424648.0,Easy Company,109.0
Betty Blue,Unrated,Drama,1986,"November 7, 1986 (United States)",7.4,19000.0,Jean-Jacques Beineix,Philippe Djian,Jean-Hugues Anglade,France,,2016851.0,Gaumont,185.0
Solarbabies,PG-13,Action,1986,"November 26, 1986 (United States)",4.8,4100.0,Alan Johnson,Walon Green,Richard Jordan,United States,25000000.0,1579260.0,Brooksfilms,94.0
Se7en,R,Crime,1995,"September 22, 1995 (United States)",8.6,1500000.0,David Fincher,Andrew Kevin Walker,Morgan Freeman,United States,33000000.0,327333559.0,Cecchi Gori Pictures,127.0
Malone,R,Action,1987,"May 1, 1987 (United States)",5.7,2800.0,Harley Cokeliss,Christopher Frank,Burt Reynolds,United States,10000000.0,3060858.0,Orion Pictures,92.0
Downtown,R,Action,1990,"January 12, 1990 (United States)",5.7,1800.0,Richard Benjamin,Nat Mauldin,Anthony Edwards,United States,10000000.0,2346150.0,Pacific Western,96.0
A Simple Plan,R,Crime,1998,"January 22, 1999 (United States)",7.5,66000.0,Sam Raimi,Scott B. Smith,Bill Paxton,United Kingdom,30000000.0,16316273.0,British Broadcasting Corporation (BBC),121.0
Hero,PG-13,Comedy,1992,"October 2, 1992 (United States)",6.5,22000.0,Stephen Frears,Laura Ziskin,Dustin Hoffman,United States,42000000.0,19507345.0,Columbia Pictures,119.0
Revenge,R,Action,1990,"February 16, 1990 (United States)",6.2,17000.0,Tony Scott,Jim Harrison,Kevin Costner,United States,22000000.0,15645616.0,New World Pictures,124.0
Shattered,R,Crime,1991,"October 11, 1991 (United States)",6.5,8900.0,Wolfgang Petersen,Richard Neely,Tom Berenger,United States,22000000.0,11511031.0,Capella International,98.0
Excalibur,R,Adventure,1981,"April 10, 1981 (United States)",7.4,59000.0,John Boorman,Thomas Malory,Nigel Terry,United Kingdom,11000000.0,34971136.0,Cinema '84,140.0
Thoroughbreds,R,Comedy,2017,"March 9, 2018 (United States)",6.7,38000.0,Cory Finley,Cory Finley,Olivia Cooke,United States,6000000.0,3187255.0,B Story,92.0
